Name,PTS,REB,AST,3PT,BLK,STL,TO,LOC,OPP
Jalen Brunson,27,4,6,3,1,1,1,Away,WSH
Julius Randle,27,11,4,3,1,1,1,Away,WSH
RJ Barrett,19,5,3,2,1,1,1,Away,WSH
Bradley Beal,24,5,6,2,1,1,1,Home,NYK
Kristaps Porzingis,24,9,3,2,1,1,1,Home,NYK
Kyle Kuzma,22,8,5,3,1,1,1,Home,NYK
Monte Morris,11,4,6,2,1,1,1,Home,NYK
Daniel Gafford,10,7,2,1,1,1,1,Home,NYK
Jimmy Butler,22,6,6,1,1,1,1,Away,MIL
Bam Adebayo,22,11,4,1,1,1,1,Away,MIL
Tyler Herro,21,6,5,3,1,1,1,Away,MIL
Gabe Vincent,13,3,3,3,1,1,1,Away,MIL
Caleb Martin,9,6,2,2,1,1,1,Away,MIL
Jrue Holiday,22,6,8,3,1,1,1,Home,MIA
Donovan Mitchell,27,5,5,4,1,1,1,Away,ATL
Darius Garland,23,3,8,3,1,1,1,Away,ATL
Jarrett Allen,15,11,2,1,1,1,1,Away,ATL
Spencer Dinwiddie,20,4,6,3,1,1,1,Away,CHI
Mikal Bridges,20,5,4,2,1,1,1,Away,CHI
Cam Johnson,14,5,2,3,1,1,1,Away,CHI
Nic Claxton,13,10,2,1,1,1,1,Away,CHI
Dorian Finney Smith,9,6,2,2,1,1,1,Away,CHI
Nikola Vucevic,19,13,4,2,1,1,1,Home,BKN
Patrick Williams,11,5,2,2,1,1,1,Home,BKN
Anthony Edwards,30,6,5,4,1,1,1,Home,CHA
Rudy Gobert,16,15,2,1,1,1,1,Home,CHA
Jaden Mcdaniels,13,4,2,2,1,1,1,Home,CHA
Mike Conley,12,3,7,2,1,1,1,Home,CHA
Kyle Anderson,12,6,5,1,1,1,1,Home,CHA
Shai Gilgeous Alexander,32,5,6,1,1,1,1,Away,PHX
Josh Giddey,18,8,7,1,1,1,1,Away,PHX
Luguentz Dort,14,4,3,2,1,1,1,Away,PHX
Devin Booker,27,5,5,3,1,1,1,Home,OKC
Deandre Ayton,21,12,3,1,1,1,1,Home,OKC
Chris Paul,15,5,10,2,1,1,1,Home,OKC
Jordan Poole,27,4,6,4,1,1,1,Home,HOU
Klay Thompson,27,4,3,5,1,1,1,Home,HOU
Draymond Green,9,8,8,1,1,1,1,Home,HOU
Alperen Sengun,19,10,6,1,1,1,1,Away,GSW
Jabari Smith,14,8,2,3,1,1,1,Away,GSW
Kenyon Martin Jr,16,7,2,2,1,1,1,Away,GSW
Kawhi Leonard,25,7,5,2,1,1,1,Home,SAC
Paul George,23,7,5,3,1,1,1,Home,SAC
